Problem,Total_Value,Total_Weight,Selected_Items,Time
50_100_1_4_5,1170,892,1-10-11-13-14-15-16-17-18-19-2-20-3-5-6-7-8-9,11.983541011810303
50_100_1_5_5,1146,1082,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,10.936738014221191
50_100_2_1_5,434,370,10-11-13-14-17-22-3-4-5-6-9,18.795557022094727
50_100_2_2_5,881,823,1-10-11-12-14-15-16-18-2-20-4-5-6-7-8,28.786625385284424
50_100_2_3_5,769,713,1-10-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.092868566513062
50_100_2_4_5,1028,1032,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.506457567214966
50_100_2_5_5,1244,1226,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8-9,11.546067714691162
50_100_3_1_5,550,420,12-14-15-16-17-19-2-20-3-4-5-7-9,28.732383251190186
50_100_3_2_5,1063,883,10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.999191761016846
50_100_3_3_5,999,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,12.046020269393921
50_100_3_4_5,1294,1104,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.217918634414673
50_100_3_5_5,1432,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.030443668365479
50_100_4_1_5,420,420,1-10-2-3-4-6-8,28.857375383377075
50_100_4_2_5,886,886,1-12-13-14-15-16-17-18-2-3-4-5-6-7-9,28.294888496398926
50_100_4_3_5,809,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.577313899993896
50_100_4_4_5,1099,1099,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-9,11.62417197227478
50_100_4_5_5,1242,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.66413688659668
50_500_1_1_5,3894,2236,11-14-16-19-21-3-5-6-7-8,13.045953273773193
50_500_1_2_5,5640,4678,1-10-11-12-13-14-15-16-17-18-2-21-3-4-5-6-7-8-9,12.28039264678955
50_500_1_3_5,3925,4431,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-8-9,11.327336549758911
50_500_1_4_5,5711,5332,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.014744520187378
50_500_1_5_5,4658,5075,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.108554601669312
50_500_2_1_5,2462,2241,1-11-12-13-18-2-21-5-6,12.514753103256226
50_500_2_2_5,4870,4706,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-7-8-9,11.436659574508667
50_500_2_3_5,4582,4711,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.54603123664856
50_500_2_4_5,5246,5170,1-10-11-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.249217510223389
50_500_2_5_5,5375,5218,1-10-11-12-13-14-15-17-18-19-2-20-3-4-6-7-8-9,11.421040296554565
50_500_3_1_5,2347,2237,10-11-13-14-15-18-19-2-20-8-9,29.310465335845947
50_500_3_2_5,4541,4351,10-11-12-13-14-15-17-18-19-2-21-22-3-4-5-6-7-8-9,25.02295207977295
50_500_3_3_5,4704,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.327334642410278
50_500_3_4_5,6005,5825,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8,11.967900037765503
50_500_3_5_5,4845,4655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.999185800552368
50_500_4_1_5,2237,2237,10-12-3-6-7-8,29.169865608215332
50_500_4_2_5,4352,4352,1-13-14-15-16-17-18-19-2-3-4-5-6-8-9,28.341784238815308
50_500_4_3_5,4544,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.452284812927246
50_500_4_4_5,6123,6123,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.217926979064941
50_500_4_5_5,4647,4647,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8,11.467929363250732
50_1000_1_1_5,5907,5031,1-11-12-16-21-3-7-8-9,12.561609268188477
50_1000_1_2_5,11462,8511,11-12-13-14-15-16-17-18-2-20-3-4-5-7-8-9,38.43431282043457
50_1000_1_3_5,9951,10226,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.88587212562561
50_1000_1_4_5,11711,9832,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.267370223999023
50_1000_1_5_5,7968,7932,1-10-11-14-15-18-19-2-20-3-4-5-6-8,11.347423553466797
50_1000_2_1_5,5583,5060,11-12-13-16-21-3-7-8-9,12.824923515319824
50_1000_2_2_5,9018,8714,1-11-12-14-16-17-2-21-3-4-5-6-7-8,15.542149066925049
50_1000_2_3_5,9733,9843,1-10-11-12-13-14-15-18-19-2-20-4-6-7-8-9,11.923718929290771
50_1000_2_4_5,9087,9239,1-10-11-12-13-14-15-16-17-19-2-20-3-4-5-6-7-8-9,11.64128589630127
50_1000_2_5_5,11833,12026,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,12.41634750366211
50_1000_3_1_5,4680,4570,10-11-12-13-14-18-20-22-4-5-8,21.24338173866272
50_1000_3_2_5,9515,9345,10-11-12-13-14-15-17-18-2-20-3-4-5-6-7-8-9,11.108559608459473
50_1000_3_3_5,9742,9572,1-10-11-12-13-15-16-17-18-19-2-20-3-4-6-7-8,11.9679434299469
50_1000_3_4_5,12072,11892,1-10-11-12-13-15-16-17-19-2-20-3-4-5-6-7-8-9,12.214731216430664
50_1000_3_5_5,9845,9655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.786866903305054
50_1000_4_1_5,4570,4570,1-10-11-12-4-6-8-9,30.32561755180359
50_1000_4_2_5,9352,9352,1-11-12-13-14-15-16-18-19-3-5-6-7-8-9,31.657145261764526
50_1000_4_3_5,9477,9477,1-10-11-12-13-15-16-17-18-19-20-3-4-6-7-8,13.135557174682617
50_1000_4_4_5,11892,11892,1-10-11-12-13-15-16-17-19-2-20-3-4-5-6-7-8-9,11.274025678634644
50_1000_4_5_5,9655,9655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.733518600463867
100_50_1_1_5,550,394,1-10-11-13-14-16-17-18-19-2-20-3-4-5-7-8-9,11.60852336883545
100_50_1_2_5,465,424,1-11-12-13-14-15-16-17-18-19-20-3-4-5-6-7-9,11.014843463897705
100_50_1_3_5,401,376,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.249176979064941
100_50_1_4_5,561,382,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.10848617553711
100_50_1_5_5,587,554,10-11-12-13-14-15-16-18-19-2-20-3-4-5-6-7-8-9,11.412622690200806
100_50_2_1_5,429,394,1-10-12-13-14-16-17-19-2-21-3-4-5-6-7-8-9,14.379881143569946
100_50_2_2_5,494,496,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,12.17412257194519
100_50_2_3_5,363,373,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.76561689376831
100_50_2_4_5,369,369,1-10-12-14-15-16-17-18-19-20-3-4-5-6-7-8-9,11.249176263809204
100_50_2_5_5,594,598,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.414197206497192
100_50_3_1_5,582,402,1-10-11-12-13-14-16-17-19-2-21-3-4-5-6-7-8-9,13.530330181121826
100_50_3_2_5,651,461,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8-9,10.718016624450684
100_50_3_3_5,597,407,1-10-11-12-13-14-15-16-17-19-2-20-3-4-5-6-7-8-9,11.764785289764404
100_50_3_4_5,606,416,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,12.80091404914856
100_50_3_5_5,732,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,10.999232292175293
100_50_4_1_5,407,407,1-10-11-13-15-16-18-2-3-4-5-6-7-8-9,28.52928924560547
100_50_4_2_5,461,461,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8-9,12.719572305679321
100_50_4_3_5,402,402,1-10-11-12-13-14-15-16-17-19-2-20-3-4-6-7-8-9,11.769393920898438
100_50_4_4_5,416,416,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.419518947601318
100_50_4_5_5,542,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,12.05515170097351
100_100_1_1_5,1116,713,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.78327989578247
100_100_1_2_5,1050,930,11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.43526005744934
100_100_1_3_5,947,659,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.171053647994995
100_100_1_4_5,1170,892,1-10-11-13-14-15-16-17-18-19-2-20-3-5-6-7-8-9,12.016253232955933
100_100_1_5_5,1146,1082,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.038666725158691
100_100_2_1_5,777,744,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.530407190322876
100_100_2_2_5,1128,1096,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.561654567718506
100_100_2_3_5,769,713,1-10-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.389793157577515
100_100_2_4_5,1028,1032,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.374229907989502
100_100_2_5_5,1252,1226,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.43671703338623
100_100_3_1_5,1012,832,1-10-12-13-14-15-16-17-18-19-2-21-3-5-6-7-8-9,14.155288934707642
100_100_3_2_5,1252,1062,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.764831304550171
100_100_3_3_5,999,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.311729907989502
100_100_3_4_5,1333,1143,1-10-11-12-13-14-15-16-17-18-19-2-21-3-4-5-6-7-9,12.401085615158081
100_100_3_5_5,1432,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,10.999263525009155
100_100_4_1_5,832,832,1-10-11-12-13-14-15-16-17-18-2-3-4-5-6-7-9,29.12301802635193
100_100_4_2_5,1062,1062,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.499219417572021
100_100_4_3_5,809,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.602134704589844
100_100_4_4_5,1099,1099,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-9,11.38984727859497
100_100_4_5_5,1242,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.65545129776001
100_500_1_1_5,5725,4556,1-11-12-13-14-15-16-19-2-21-3-4-5-6-7-8-9,13.323017597198486
100_500_1_2_5,5571,4996,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.859831809997559
100_500_1_3_5,3925,4431,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-8-9,11.202343463897705
100_500_1_4_5,5711,5332,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.936652421951294
100_500_1_5_5,4658,5075,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.07733678817749
100_500_2_1_5,4662,4553,1-10-11-12-13-15-16-17-18-2-21-3-4-5-6-8-9,13.01470685005188
100_500_2_2_5,4948,4863,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.342940092086792
100_500_2_3_5,4582,4711,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.671077013015747
100_500_2_4_5,5246,5170,1-10-11-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.327351331710815
100_500_2_5_5,5434,5246,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.577293634414673
100_500_3_1_5,4752,4582,1-11-12-13-14-15-16-18-19-2-20-3-4-5-7-8-9,28.310513496398926
100_500_3_2_5,5073,4883,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.68016266822815
100_500_3_3_5,4704,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.186703443527222
100_500_3_4_5,6005,5825,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8,11.78041386604309
100_500_3_5_5,4845,4655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.842991352081299
100_500_4_1_5,4582,4582,10-11-12-14-15-16-17-2-3-4-5-6-7-9,28.91986846923828
100_500_4_2_5,4883,4883,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.186704397201538
100_500_4_3_5,4544,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.405439615249634
100_500_4_4_5,5825,5825,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8,11.092959642410278
100_500_4_5_5,4647,4647,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8,11.389787435531616
100_1000_1_1_5,8110,9260,1-11-12-14-15-16-18-2-21-3-5-6-7-8-9,12.40538477897644
100_1000_1_2_5,12406,10478,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-7-8-9,10.874223947525024
100_1000_1_3_5,9951,10226,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.264800786972046
100_1000_1_4_5,11711,9832,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.967899799346924
100_1000_1_5_5,8658,11575,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.827327489852905
100_1000_2_1_5,10030,9396,10-11-13-14-16-17-18-19-20-3-5-7-8-9,11.508744239807129
100_1000_2_2_5,10948,10836,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.38984227180481
100_1000_2_3_5,10031,10206,1-10-11-12-13-14-15-16-17-18-19-2-20-4-6-7-8-9,11.499181985855103
100_1000_2_4_5,9586,9617,1-10-11-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.139831304550171
100_1000_2_5_5,11833,12026,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.45228910446167
100_1000_3_1_5,9158,8998,10-11-12-13-14-15-18-20-21-3-4-5-6-7-8-9,15.077075242996216
100_1000_3_2_5,11588,11398,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.764834880828857
100_1000_3_3_5,9742,9572,1-10-11-12-13-15-16-17-18-19-2-20-3-4-6-7-8,11.20232605934143
100_1000_3_4_5,12542,12352,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.999184131622314
100_1000_3_5_5,9845,9655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.842975854873657
100_1000_4_1_5,8998,8998,1-10-11-12-14-15-16-2-3-4-5-6-7-8,28.73235297203064
100_1000_4_2_5,11398,11398,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.233609914779663
100_1000_4_3_5,9477,9477,1-10-11-12-13-15-16-17-18-19-20-3-4-6-7-8,11.389827489852905
100_1000_4_4_5,12352,12352,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.171050310134888
100_1000_4_5_5,9655,9655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.75821566581726
500_50_1_1_5,577,431,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-7-8-9,11.389813661575317
500_50_1_2_5,465,424,1-11-12-13-14-15-16-17-18-19-20-3-4-5-6-7-9,11.608525276184082
500_50_1_3_5,401,376,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.702377319335938
500_50_1_4_5,561,382,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.51480770111084
500_50_1_5_5,596,532,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.97636342048645
500_50_2_1_5,475,450,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.811761856079102
500_50_2_2_5,494,496,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.03044319152832
500_50_2_3_5,363,373,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.046087741851807
500_50_2_4_5,369,369,1-10-12-14-15-16-17-18-19-20-3-4-5-6-7-8-9,11.421096801757812
500_50_2_5_5,594,598,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.577335357666016
500_50_3_1_5,679,489,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.249232769012451
500_50_3_2_5,652,462,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.233609199523926
500_50_3_3_5,599,409,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.452337265014648
500_50_3_4_5,606,416,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.671151399612427
500_50_3_5_5,732,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.217985153198242
500_50_4_1_5,489,489,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.819393157958984
500_50_4_2_5,462,462,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.874258518218994
500_50_4_3_5,409,409,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.561713695526123
500_50_4_4_5,419,419,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.108560800552368
500_50_4_5_5,542,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.421093702316284
500_100_1_1_5,1116,713,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.249236583709717
500_100_1_2_5,1050,930,11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.4367196559906
500_100_1_3_5,947,659,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.264855861663818
500_100_1_4_5,1170,892,1-10-11-13-14-15-16-17-18-19-2-20-3-5-6-7-8-9,10.780516624450684
500_100_1_5_5,1146,1082,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.171113014221191
500_100_2_1_5,777,744,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,12.030397415161133
500_100_2_2_5,1128,1096,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.905508518218994
500_100_2_3_5,769,713,1-10-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.577334642410278
500_100_2_4_5,1028,1032,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.217949390411377
500_100_2_5_5,1252,1226,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.342976808547974
500_100_3_1_5,1146,946,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.124227046966553
500_100_3_2_5,1252,1062,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.352130651473999
500_100_3_3_5,999,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.342978477478027
500_100_3_4_5,1294,1104,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.718021869659424
500_100_3_5_5,1432,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.217971086502075
