Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
50_500_2_4_5,8231,5170,3978,8262,8262,8262
50_500_2_5_5,9147,5218,3342,9157,9157,9157
50_500_3_1_5,2235,2237,2235,2235,2235,2235
50_500_3_2_5,4294,4351,2070,4352,4352,4352
50_500_3_3_5,5720,4544,1687,5912,5912,5912
50_500_3_4_5,8453,5825,2014,8640,8640,8640
50_500_3_5_5,9549,4655,1354,9995,9995,9995
50_500_4_1_5,2232,2237,2237,2237,2237,2237
50_500_4_2_5,4348,4352,4352,4352,4352,4352
50_500_4_3_5,5910,4544,4451,5912,5912,5912
50_500_4_4_5,8639,6123,5424,8640,8640,8640
50_500_4_5_5,9991,4647,4236,9995,9995,9995
50_1000_1_1_5,4907,5031,5073,5073,5073,5073
50_1000_1_2_5,8611,8511,8717,8717,8717,8717
50_1000_1_3_5,13600,10226,6958,13673,13673,13673
50_1000_1_4_5,16890,9832,3785,16917,16917,16917
50_1000_1_5_5,18973,7932,2984,18887,19136,19136
50_1000_2_1_5,4936,5060,5089,5089,5089,5089
50_1000_2_2_5,8691,8714,8696,8721,8721,8721
50_1000_2_3_5,13687,9843,11097,13691,13691,13691
50_1000_2_4_5,16920,9239,8662,16928,16928,16928
50_1000_2_5_5,19150,12026,7279,19154,19154,19154
50_1000_3_1_5,4255,4570,3825,4570,4570,4570
50_1000_3_2_5,8993,9345,5166,9352,9352,9352
50_1000_3_3_5,12977,9572,4075,13162,13162,13162
50_1000_3_4_5,16712,11892,3486,17306,17306,17305
50_1000_3_5_5,20073,9655,2441,20828,20828,20827
50_1000_4_1_5,4555,4570,4570,4570,4570,4570
50_1000_4_2_5,9345,9352,9352,9352,9352,9352
50_1000_4_3_5,13111,9477,9451,13162,13162,13162
50_1000_4_4_5,17275,11892,10924,17306,17306,17306
50_1000_4_5_5,20703,9655,8736,20828,20828,20827
100_50_1_1_5,395,394,91,395,395,395
100_50_1_2_5,784,424,99,786,786,784
100_50_1_3_5,1214,376,122,1216,1216,1216
100_50_1_4_5,1575,382,81,1576,1576,1575
100_50_1_5_5,2155,554,118,2175,2175,2175
100_50_2_1_5,395,394,202,396,396,396
100_50_2_2_5,786,496,252,786,786,786
100_50_2_3_5,1215,373,196,1216,1216,1216
100_50_2_4_5,1576,369,125,1576,1576,1576
100_50_2_5_5,2175,598,161,2175,2175,2175
100_50_3_1_5,403,402,86,407,407,407
100_50_3_2_5,815,461,73,831,831,831
100_50_3_3_5,1192,407,77,1202,1202,1202
100_50_3_4_5,1669,416,77,1687,1687,1687
100_50_3_5_5,2064,542,73,2068,2068,2068
100_50_4_1_5,407,407,407,407,407,407
100_50_4_2_5,831,461,444,831,831,831
100_50_4_3_5,1202,402,380,1202,1202,1202
100_50_4_4_5,1687,416,364,1687,1687,1687
100_50_4_5_5,2068,542,474,2068,2068,2068
100_100_1_1_5,773,713,162,790,790,790
100_100_1_2_5,1570,930,113,1570,1570,1570
100_100_1_3_5,2234,659,188,2234,2234,2234
100_100_1_4_5,3265,892,186,3276,3276,3276
100_100_1_5_5,4167,1082,199,4167,4167,4167
100_100_2_1_5,793,744,260,796,796,795
100_100_2_2_5,1568,1096,322,1570,1570,1570
100_100_2_3_5,2241,713,261,2241,2241,2241
100_100_2_4_5,3276,1032,358,3276,3276,3276
100_100_2_5_5,4174,1226,410,4175,4175,4175
100_100_3_1_5,805,832,187,832,832,832
100_100_3_2_5,1585,1062,130,1631,1631,1631
100_100_3_3_5,2321,809,114,2352,2352,2352
100_100_3_4_5,3388,1143,185,3420,3420,3420
100_100_3_5_5,4376,1242,143,4443,4443,4443
100_100_4_1_5,832,832,832,832,832,832
100_100_4_2_5,1630,1062,1060,1631,1631,1631
100_100_4_3_5,2352,809,730,2352,2352,2352
100_100_4_4_5,3420,1099,964,3420,3420,3420
100_100_4_5_5,4438,1242,1124,4443,4443,4443
100_500_1_1_5,4560,4556,2138,4554,4554,4554
100_500_1_2_5,8934,4996,773,8959,8959,8959
100_500_1_3_5,13324,4431,1253,13362,13385,13385
100_500_1_4_5,17160,5332,1116,12981,17206,17206
100_500_1_5_5,20393,5075,662,9447,20497,20497
100_500_2_1_5,4550,4553,2563,4561,4561,4561
100_500_2_2_5,8952,4863,1648,8970,8970,8970
100_500_2_3_5,13391,4711,2745,13390,13387,13387
100_500_2_4_5,17206,5170,2545,12981,17207,17207
100_500_2_5_5,20508,5246,1628,9914,20508,20508
100_500_3_1_5,4453,4582,1199,4582,4582,4582
100_500_3_2_5,8586,4883,571,8631,8631,8631
100_500_3_3_5,11974,4544,700,12252,12252,12252
100_500_3_4_5,15824,5825,767,14765,15887,15886
100_500_3_5_5,19317,4655,685,10989,19693,19693
100_500_4_1_5,4580,4582,4582,4582,4582,4582
100_500_4_2_5,8624,4883,4494,8631,8631,8631
100_500_4_3_5,12237,4544,4230,12252,12252,12252
100_500_4_4_5,15873,5825,4964,15887,15887,15887
100_500_4_5_5,19582,4647,4124,11203,19693,19693
100_1000_1_1_5,9353,9260,3522,9353,9353,9353
100_1000_1_2_5,17951,10478,2164,17882,17951,17951
100_1000_1_3_5,26867,10226,2462,16553,26883,26883
100_1000_1_4_5,34846,9832,2242,11284,34846,34846
100_1000_1_5_5,39343,11575,1525,12531,39569,39569
100_1000_2_1_5,9396,9396,7898,9395,9395,9395
100_1000_2_2_5,17950,10836,5486,17970,17970,17970
100_1000_2_3_5,26869,10206,6876,16799,26888,26888
100_1000_2_4_5,34868,9617,4373,11284,34875,34875
100_1000_2_5_5,39665,12026,3567,12542,39674,39674
100_1000_3_1_5,8593,8998,1971,8998,8998,8998
100_1000_3_2_5,16804,11398,1415,16965,16965,16965
100_1000_3_3_5,26465,9572,1350,17146,26502,26502
100_1000_3_4_5,32098,12352,1299,14265,32887,32887
100_1000_3_5_5,38859,9655,1184,10745,39693,39693
100_1000_4_1_5,8991,8998,8998,8998,8998,8998
100_1000_4_2_5,16959,11398,11260,16965,16965,16964
100_1000_4_3_5,26494,9477,8730,18480,26502,26502
100_1000_4_4_5,32885,12352,10464,14582,32887,32887
100_1000_4_5_5,39495,9655,8624,10986,39693,39693
500_50_1_1_5,2147,431,25,2147,2147,2147
500_50_1_2_5,4322,424,20,4322,4322,4322
500_50_1_3_5,6409,376,26,3258,6410,6409
500_50_1_4_5,8222,382,20,2355,8222,8222
500_50_1_5_5,10820,532,16,1907,10820,10820
500_50_2_1_5,2147,450,37,2147,2147,2147
500_50_2_2_5,4322,496,44,4322,4322,4322
500_50_2_3_5,6410,373,42,3227,6410,6410
500_50_2_4_5,8222,369,26,2364,8222,8222
500_50_2_5_5,10819,598,31,1907,10820,10820
500_50_3_1_5,2130,489,20,2138,2138,2138
500_50_3_2_5,4176,462,17,4190,4190,4190
500_50_3_3_5,6167,409,21,3648,6173,6173
500_50_3_4_5,8303,416,16,2567,8308,8308
500_50_3_5_5,10809,542,14,2075,10821,10821
500_50_4_1_5,2138,489,406,2138,2138,2138
500_50_4_2_5,4190,462,354,4190,4190,4190
500_50_4_3_5,6173,409,321,3715,6173,6173
500_50_4_4_5,8308,419,305,2580,8308,8308
500_50_4_5_5,10821,542,371,2075,10821,10821
500_100_1_1_5,4067,713,30,4072,4072,4072
500_100_1_2_5,8363,930,30,4791,8372,8372
500_100_1_3_5,12204,659,40,3028,12210,12210
500_100_1_4_5,16250,892,28,2396,16256,16256
500_100_1_5_5,21149,1082,30,2134,21153,21153
500_100_2_1_5,4072,744,63,4072,4072,4072
500_100_2_2_5,8372,1096,66,4929,8372,8372
500_100_2_3_5,12210,713,48,3028,12210,12210
500_100_2_4_5,16256,1032,40,2396,16256,16256
500_100_2_5_5,21153,1226,66,2134,21153,21153
500_100_3_1_5,4259,946,28,4280,4280,4280
500_100_3_2_5,8315,1062,23,4969,8323,8323
500_100_3_3_5,12243,809,32,2928,12273,12273
500_100_3_4_5,16294,1104,27,2760,16308,16308
500_100_3_5_5,21646,1242,24,2260,21655,21655
500_100_4_1_5,4280,946,787,4280,4280,4280
500_100_4_2_5,8323,1062,854,5456,8323,8323
500_100_4_3_5,12273,809,571,2984,12273,12273
500_100_4_4_5,16307,1099,905,2781,16308,16308
500_100_4_5_5,21655,1242,871,2292,21655,21655
500_500_1_1_5,20233,5350,158,11084,20239,20239
500_500_1_2_5,42668,4996,181,4522,42668,42668
500_500_1_3_5,64681,4726,86,3242,64710,64709
500_500_1_4_5,82218,5332,94,2558,82254,82254
500_500_1_5_5,104552,5075,117,1978,104567,104552
500_500_2_1_5,20239,5234,356,11084,20239,20239
500_500_2_2_5,42667,4863,498,4321,42672,42672
500_500_2_3_5,64706,4711,195,3242,64710,64705
500_500_2_4_5,82255,5170,206,2558,82256,82254
500_500_2_5_5,104567,5246,326,1978,104570,104569
500_500_3_1_5,21177,5705,186,11393,21313,21313
500_500_3_2_5,42512,4883,136,4760,42557,42557
500_500_3_3_5,64817,4544,81,3003,65073,65073
500_500_3_4_5,83241,5825,114,2531,83242,83242
500_500_3_5_5,108072,4655,161,2358,108488,108484
500_500_4_1_5,21313,5705,5106,12150,21313,21313
500_500_4_2_5,42556,4883,3954,4760,42557,42557
500_500_4_3_5,65073,4544,3371,3003,65073,65073
500_500_4_4_5,83242,6123,4505,2531,83242,83242
500_500_4_5_5,108463,4647,3471,2358,108488,108488
500_1000_1_1_5,41395,13350,222,13350,41405,41405
500_1000_1_2_5,84289,10478,271,4937,84330,84330
500_1000_1_3_5,124432,10226,229,1547,124456,124456
500_1000_1_4_5,171851,9832,239,2637,171920,171920
500_1000_1_5_5,209559,11575,203,1897,209557,209557
500_1000_2_1_5,41404,13275,593,13350,41406,41406
500_1000_2_2_5,84334,10836,520,4937,84338,84338
500_1000_2_3_5,124457,10206,576,1547,124460,124458
500_1000_2_4_5,171922,9617,739,2637,171922,171922
500_1000_2_5_5,209569,12026,783,1897,209570,209569
500_1000_3_1_5,43004,12171,279,12112,43313,43313
500_1000_3_2_5,83654,11398,225,5226,83723,83723
500_1000_3_3_5,129264,9572,183,1581,129323,129314
500_1000_3_4_5,169986,12352,367,2837,170575,170574
500_1000_3_5_5,216774,9655,251,1807,217655,217642
500_1000_4_1_5,43312,12171,10606,12112,43313,43313
500_1000_4_2_5,83721,11398,9954,5226,83723,83723
500_1000_4_3_5,129321,9477,6371,1581,129323,129323
500_1000_4_4_5,170571,12297,9505,2837,170575,170575
500_1000_4_5_5,217629,9619,7066,1807,217655,217655
