Problem,Greedy_profit,Greedy_weight,Greedy_time,BF_profit,BF_weight,BF_time,B&B_profit,B&B_weight,B&B_time,DP_profit,DP_weight,DP_time,DP_OR_profit,DP_OR_weight,DP_OR_time,IP_OR_profit,IP_OR_weight,IP_OR_time
10_500_3_4_5,1787,1717,0,2077,2007,0,2077,2007,0.015623093,2077,2007,0.187467337,2077,2007,0,2077,2007,0.087979317
10_500_3_5_5,1972,1892,0,2342,2262,0,2342,2262,0,2342,2262,0.234379053,2342,2262,0,2342,2262,0.014016628
10_500_4_1_5,545,545,0,545,545,0,545,545,0,545,545,0.031247616,545,545,0,545,545,0.012968779
10_500_4_2_5,780,780,0,788,788,0,788,788,0.015623331,788,788,0.04685545,788,788,0,788,788,0.074016571
10_500_4_3_5,989,989,0,1032,1032,0,1032,1032,0.015619516,1032,1032,0.093760967,1032,1032,0,1032,1032,0.015037298
10_500_4_4_5,1938,1938,0,2013,2013,0,2013,2013,0.015623569,2013,2013,0.187470913,2013,2013,0,2013,2013,0.115014315
10_500_4_5_5,2164,2164,0,2262,2262,0,2262,2262,0,2262,2262,0.203128338,2262,2262,0,2262,2262,0.011002779
10_1000_1_1_5,1136,616,0,1185,931,0,1185,931,0,1185,931,0.062495708,1185,931,0,1185,931,0.006023407
10_1000_1_2_5,2711,1478,0,3009,1753,0,3009,1753,0,3009,1753,0.156221151,3009,1753,0,3009,1753,0.011057854
10_1000_1_3_5,3668,2089,0,3725,2152,0,3725,2152,0,3725,2152,0.374974489,3725,2152,0,3725,2152,0.008929253
10_1000_1_4_5,5794,3531,0,5794,3531,0,5794,3531,0,5794,3531,0.562464714,5794,3531,0,5794,3531,0.009002686
10_1000_1_5_5,3331,4414,0,3376,4799,0,3376,4799,0,3376,4799,0.578088284,3376,4799,0,3376,4799,0.011039019
10_1000_2_1_5,1052,931,0,1052,931,0,1052,931,0,1052,931,0.078116894,1052,931,0,1052,931,0.01105547
10_1000_2_2_5,2048,1816,0,2139,1898,0,2139,1898,0,2139,1898,0.156239271,2139,1898,0,2139,1898,0.010056257
10_1000_2_3_5,1921,1816,0,2148,2181,0,2148,2181,0,2148,2181,0.203109503,2148,2181,0,2148,2181,0.016946554
10_1000_2_4_5,3692,3539,0,3692,3539,0.015594482,3692,3539,0.015625,3692,3539,0.328119516,3692,3539,0,3692,3539,0.082997561
10_1000_2_5_5,5369,5122,0,5421,5174,0.015593767,5421,5174,0,5421,5174,0.515573978,5421,5174,0,5421,5174,0.013041496
10_1000_3_1_5,1017,987,0,1156,1136,0.015641212,1156,1136,0,1156,1136,0.062494993,1156,1136,0,1156,1136,0.013006449
10_1000_3_2_5,1563,1523,0,1983,1953,0,1983,1953,0,1983,1953,0.140616417,1983,1953,0,1983,1953,0.075016022
10_1000_3_3_5,1320,1250,0,1589,1529,0,1589,1529,0,1589,1529,0.140631437,1589,1529,0,1589,1529,0.074013948
10_1000_3_4_5,4287,4217,0,4740,4670,0,4740,4670,0,4740,4670,0.437451363,4740,4670,0,4740,4670,0.085050821
10_1000_3_5_5,4378,4288,0,4413,4323,0,4413,4323,0.015627384,4413,4323,0.437488794,4413,4323,0,4413,4323,0.016003609
10_1000_4_1_5,1091,1091,0,1136,1136,0,1136,1136,0,1136,1136,0.046872616,1136,1136,0,1136,1136,0.011019945
10_1000_4_2_5,1589,1589,0,1953,1953,0,1953,1953,0,1953,1953,0.124972343,1953,1953,0,1953,1953,0.07796216
10_1000_4_3_5,1489,1489,0,1532,1532,0.015622616,1532,1532,0,1532,1532,0.140634298,1532,1532,0,1532,1532,0.008039474
10_1000_4_4_5,4438,4438,0,4676,4676,0.015624285,4676,4676,0,4676,4676,0.453094244,4676,4676,0,4676,4676,0.081014872
10_1000_4_5_5,4304,4304,0,4331,4331,0.015643597,4331,4331,0,4331,4331,0.437449932,4331,4331,0,4331,4331,0.015017033
50_50_1_1_5,563,181,0,377,180,16.63943148,563,181,2.937298536,563,181,0.078123093,563,181,0,563,181,0.017997265
50_50_1_2_5,801,403,0,460,394,12.59288192,651,268,10.04619169,802,406,0.203111887,802,406,0,802,406,0.018015623
50_50_1_3_5,1049,535,0,401,376,10.8273294,702,227,10.04875231,1052,539,0.265620947,1052,539,0,1052,539,0.033002377
50_50_1_4_5,1283,726,0,561,382,11.57727408,661,163,10.05042839,1283,726,0.390582323,1283,726,0,1283,726,0.013002396
50_50_1_5_5,1206,1010,0,596,532,11.20236254,603,238,10.03852129,1209,1024,0.578083754,1209,1024,0,1209,1024,0.019999504
50_50_2_1_5,241,181,0,211,181,11.90542722,241,181,0.587291479,241,181,0.078121424,241,181,0.015623569,241,181,0.013033152
50_50_2_2_5,465,404,0,421,406,20.73294473,463,402,10.00478244,466,406,0.187500715,466,406,0,466,406,0.017023802
50_50_2_3_5,599,541,0,363,373,11.79607058,335,281,10.06449771,599,541,0.281210899,599,541,0,599,541,0.00993228
50_50_2_4_5,793,730,0.000950336,369,369,11.48353648,353,299,10.04618955,796,730,0.374972343,796,730,0,796,730,0.024998665
50_50_2_5_5,1077,1031,0,594,598,11.37419271,520,458,10.06181502,1082,1035,0.546837091,1082,1035,0,1082,1035,0.021014929
50_50_3_1_5,405,205,0,332,212,28.4511497,412,212,9.758405447,412,212,0.078121662,412,212,0,412,212,0.013999701
50_50_3_2_5,670,380,0,585,395,15.56137919,354,164,10.07745647,692,402,0.187483072,692,402,0,692,402,0.019964933
50_50_3_3_5,893,533,0,597,407,11.86764622,345,165,10.03849936,897,537,0.281234264,897,537,0,897,537,0.027000189
50_50_3_4_5,1214,814,0,606,416,11.93663049,356,176,10.03129721,1240,840,0.421843052,1240,840,0,1240,840,0.017000437
50_50_3_5_5,1606,1166,0,732,542,11.73353815,394,214,10.04196262,1643,1203,0.609335661,1643,1203,0,1643,1203,0.053001165
50_50_4_1_5,212,212,0,212,212,28.71677446,212,212,0.015649319,212,212,0.07811904,212,212,0,212,212,0.012002468
50_50_4_2_5,399,399,0,402,402,28.83159685,402,402,6.079303503,402,402,0.156236172,402,402,0,402,402,0.018999815
50_50_4_3_5,537,537,0,409,409,11.59294248,401,401,10.05459404,537,537,0.203107595,537,537,0,537,537,0.032997131
50_50_4_4_5,835,835,0,416,416,11.3741653,374,374,10.07236838,840,840,0.359347105,840,840,0,840,840,0.013998032
50_50_4_5_5,1203,1203,0,542,542,11.46795511,486,486,10.04619408,1203,1203,0.57808423,1203,1203,0,1203,1203,0.009001732
50_100_1_1_5,1493,362,0,951,367,11.38984537,1493,362,2.452955246,1493,362,0.171882629,1493,362,0,1493,362,0.011999846
50_100_1_2_5,1629,813,0,962,782,10.73362517,1346,506,10.09077787,1629,812,0.406206131,1629,812,0,1629,813,0.033002615
50_100_1_3_5,2088,1035,0,947,659,11.17111397,1278,325,10.06181312,2088,1035,0.546836376,2088,1035,0,2088,1035,0.011985064
50_100_1_4_5,2448,1583,0,1170,892,11.98354101,1236,402,10.05541873,2449,1595,0.84368968,2449,1595,0,2449,1595,0.01800561
50_100_1_5_5,2587,2236,0,1146,1082,10.93673801,1253,451,10.03503609,2587,2236,1.249933958,2587,2236,0,2587,2236,0.009999752
50_100_2_1_5,480,371,0,434,370,18.79555702,481,373,1.218678951,481,373,0.15625453,481,373,0,481,373,0.020002365
50_100_2_2_5,944,823,0,881,823,28.78662539,944,823,9.568997622,944,823,0.359330177,944,823,0,944,823,0.023001909
50_100_2_3_5,1188,1039,0.000998974,769,713,12.09286857,747,618,10.08002853,1194,1041,0.531214237,1194,1041,0,1194,1041,0.020980358
50_100_2_4_5,1732,1593,0,1028,1032,11.50645757,779,651,10.05718613,1735,1597,0.859319448,1735,1597,0,1735,1597,0.024001598
50_100_2_5_5,2355,2244,0,1244,1226,11.54606771,1064,953,10.0462079,2355,2244,1.124938726,2355,2244,0,2355,2244,0.031999111
50_100_3_1_5,604,414,0,550,420,28.73238325,610,420,8.0849545,610,420,0.171863317,610,420,0,610,420,0.03198576
50_100_3_2_5,1116,846,0,1063,883,10.99919176,602,412,10.07744455,1156,886,0.374954939,1156,886,0,1156,886,0.016034603
50_100_3_3_5,1412,1062,0,999,809,12.04602027,467,277,10.06175661,1462,1112,0.53123188,1462,1112,0,1462,1112,0.018985987
50_100_3_4_5,2203,1813,0,1294,1104,12.21791863,694,514,10.05381012,2230,1840,0.890564919,2230,1840,0,2230,1840,0.04699707
50_100_3_5_5,2758,2318,0.000999212,1432,1242,11.03044367,650,470,10.04677868,2851,2411,1.265522718,2851,2411,0,2851,2411,0.025998592
50_100_4_1_5,420,420,0,420,420,28.85737538,420,420,0.015582323,420,420,0.140610933,420,420,0,420,420,0.012999535
50_100_4_2_5,882,882,0,886,886,28.2948885,886,886,5.288975477,886,886,0.328102112,886,886,0,886,886,0.008964062
50_100_4_3_5,1111,1111,0,809,809,11.5773139,751,751,10.07738352,1112,1112,0.484339714,1112,1112,0,1112,1112,0.009951591
50_100_4_4_5,1833,1833,0,1099,1099,11.62417197,1024,1024,10.04917049,1840,1840,0.796837807,1840,1840,0,1840,1840,0.012001038
50_100_4_5_5,2391,2391,0,1242,1242,11.66413689,1136,1136,10.04065132,2411,2411,1.078033686,2411,2411,0.015623808,2411,2411,0.014023781
50_500_1_1_5,5830,2169,0,3894,2236,13.04595327,5860,2251,0.48432374,5860,2251,0.937452555,5860,2251,0,5860,2251,0.025996685
50_500_1_2_5,7732,4705,0,5640,4678,12.28039265,6266,3236,10.0321188,7733,4700,2.18735075,7733,4700,0.015623808,7733,4700,0.0200243
50_500_1_3_5,8846,6433,0,3925,4431,11.32733655,5776,3186,10.07131481,8846,6433,3.202922821,8846,6433,0.015641689,8846,6433,0.013990879
50_500_1_4_5,10495,8201,0,5711,5332,12.01474452,6183,2434,10.04924536,10495,8201,4.109075069,10495,8201,0.015622139,10495,8201,0.011945486
50_500_1_5_5,12145,9027,0,4658,5075,11.1085546,5961,1984,10.05478621,12184,9108,4.952786922,12184,9108,0.015624523,12184,9108,0.014983177
50_500_2_1_5,2617,2221,0,2462,2241,12.5147531,2645,2249,0.078062534,2645,2249,0.890583515,2645,2249,0,2645,2249,0.050959349
50_500_2_2_5,5329,4722,0,4870,4706,11.43665957,5336,4722,9.9893682,5336,4722,2.196886301,5336,4722,0,5336,4722,0.051000357
